name	team_name
Site Health	TCC
keepalive on adw-03-sr4	Security
Observe::Hummingbird::Prod	Runtime Systems
Observability	Runtime Systems
haplo afn	Platform Services
@tc	Public
10 C2100  Hadoops	Hardware Engineering & Delivery
16 Failed Hadoops	Hardware Engineering & Delivery
AAA	Hardware Engineering & Delivery
AAA load for scale	Hardware Engineering & Delivery
AAA NEW 	Hardware Engineering & Delivery
AAA-03-sr1	Hardware Engineering & Delivery
AAA-Rack	Hardware Engineering & Delivery
AAA-Rack	Hardware Engineering & Delivery
AAA-Rack	Hardware Engineering & Delivery
AAB Rack 	Hardware Engineering & Delivery
AAC rack health	Hardware Engineering & Delivery
Abuse Daemon	Anti-Spam
ABW-23-sr1	Hardware Engineering & Delivery
ACC Rack	Hardware Engineering & Delivery
ACC-07-sr1	Hardware Engineering & Delivery
ACC-31-sr1	Hardware Engineering & Delivery
ACT-27 DB Node	Hardware Engineering & Delivery
act-950	Demand Services
Activity	Platform Services
Addressbook	Growth
ADZ-03-sr1,2,3,4	Hardware Engineering & Delivery
ADZ-35-sr1,2,3,4	Hardware Engineering & Delivery
AFC-15-sr1	Hardware Engineering & Delivery
AFU Rack	Hardware Engineering & Delivery
AFU-13	Hardware Engineering & Delivery
AFX Rack	Hardware Engineering & Delivery
AFX-35-sr1	Hardware Engineering & Delivery
AFY-130-SR1	Hardware Engineering & Delivery
AFZ Rack	Hardware Engineering & Delivery
AFZ-33-sr1	Hardware Engineering & Delivery
AGC Rack	Hardware Engineering & Delivery
AGH-23-sr1	Hardware Engineering & Delivery
AGI	Datacenter
AGL-19-sr1	Hardware Engineering & Delivery
AGL-27-sr1	Hardware Engineering & Delivery
AGL-35-sr1-CPUs	Hardware Engineering & Delivery
AGM-1	Hardware Engineering & Delivery
Amin's Dashboard	Demand Services
Apache Internals	Operations Engineering
awef	Content
badgerboard	Runtime Systems
Blender	Search
Cassandra - Metastore New	Manhattan/Cassandra
Colony	Runtime Systems
dashboard: 26	Manhattan/Cassandra
dashboard: 68	Hardware Engineering & Delivery
Datta	Hardware Engineering & Delivery
Demand Services	Demand Services
DocDash	Documentation
Dr Flock	Manhattan/Cassandra
Flock	data services
Fred Testing...	Operations Engineering
Global Test	Manhattan/Cassandra
Guano	Trust and Safety - Engineering
Hadoop	Analytics
Haplocheirus	Platform Services
haplodebug	Runtime Systems
Health_AAA rack	Hardware Engineering & Delivery
image processing daemon	Platform Services
Integration	Platform Services
Internal Tools	Internal Tools
Janky test 	Web
jns_hadoop_monitor	Hardware Engineering & Delivery
jvm.gc	Runtime Systems
Lists	Platform Services
MIGRATE::Addressbook	Growth
Monorail Rockdove	Platform Services
Nest disk space	Operations Engineering
Observe::Cuckoo::Prod	Runtime Systems
Nutcracker	Runtime Systems
Observe::Colony::Prod	Runtime Systems
Observe::Colony::Staging	Runtime Systems
Observe::Hummingbird::staging	Runtime Systems
Parrot - jw_test	Platform Services
Parrot Preflight	Platform Services
Parrot PVT	Platform Services
Passbird Latencies	Platform Services
Passbird Production	Platform Services
patc	Runtime Systems
Perftown	Web
Photurkey Debug	Runtime Systems
Photurkey Photobucket Client	Content
PHX timings	Public
Power query	Hardware Engineering & Delivery
Trends Service	trends
Rack CPU idle	Hardware Engineering & Delivery
Rack current_PS	Hardware Engineering & Delivery
Rack load	Hardware Engineering & Delivery
Rack load1	Hardware Engineering & Delivery
Rack Load15	Hardware Engineering & Delivery
Rack Load5	Hardware Engineering & Delivery
Rack Memory	Hardware Engineering & Delivery
Rack Memory	Hardware Engineering & Delivery
Rack Memoryfree	Hardware Engineering & Delivery
Rack Memorytotal	Hardware Engineering & Delivery
Rack Temperature	Public
Rack Temperature	Hardware Engineering & Delivery
Rack Temperature	Hardware Engineering & Delivery
Rails Latencies	Platform Services
Release - test	Public
Scribe Aggregator	Analytics
Scribe Canary	Analytics
Search Quality Metrics	Search
Search Updater	Search
smf1-agk-09-sr1.prod.twitter.com	Analytics
Spam reports	Anti-Spam
SpiderDuck Debugging	Search
squidpalette	Platform Services
Stump	Manhattan/Cassandra
Swiftlet/Comparative	Platform Services
Swiftlet/Production	Platform Services
TBAPI Twemcache	Manhattan/Cassandra
test dashboard 1	Public
test dashboard 1	Public
test dashboard 1	Public
test dashboard 1	Public
test dashboard 1	Public
test dashboard 1	Public
test dashboard 1	Public
test dashboard 1	Public
test dashboard 1	Public
test dashboard 1	Public
TEST::KB	Runtime Systems
Testing Endpoint Aggregation	Platform Services
Photurkey (smf1/production)	Platform Services
testing viz_: Photurkey Fanned Out	Runtime Systems
testkljkl	Runtime Systems
teststor	Hardware Engineering & Delivery
TFlock	Manhattan/Cassandra
TFlock DB	Manhattan/Cassandra
Timeline	Platform Services
Payment	Revenue Eng & Product
TS Image Processing	Trust and Safety - Engineering
Tweet Button	Platform
wanli_test	Public
Telescope	Anti-Spam
TelescopeStaging	Anti-Spam
Koalabird	Runtime Systems
Site Health Test	Operations Engineering
Ads Auction Dashboard	Revenue Eng & Product
Nagios	Operations Engineering
hardware	Manhattan/Cassandra
For presentation	Hardware Engineering & Delivery
rgb_haplo	Runtime Systems
spiderduck canary	Manhattan/Cassandra
Cassowary Sarus	User Discovery & Personalization
Cassowary Compute Forward	User Discovery & Personalization
Cassowary Compute Reverse	User Discovery & Personalization
Site Health Testing	Operations Engineering
metastore canary	Manhattan/Cassandra
ostrichagg	Runtime Systems
